,Results,lon,lat
20,"[0.5598881294996851, 0.35457807105159533, 0.020619113164121423, 1.684585272653636e-05, 1.684585272653636e-06, 0.06489615584659886]",-75.723267,45.457240999999996
21,"[0.6567824560830033, 0.20574318536735092, 0.04507652384232795, 1.1189069174542006e-05, 4.7153934378427025e-06, 0.09238193024470534]",-65.95885899999999,49.2043796
22,"[0.6255882068948209, 0.2622523081843984, 0.0325395915624521, 1.4846254504518786e-05, 3.2654165917867406e-06, 0.0796017816872324]",-73.54154143,45.540386100000006
23,"[0.6255882068948209, 0.2622523081843984, 0.0325395915624521, 1.4846254504518786e-05, 3.2654165917867406e-06, 0.0796017816872324]",-73.5354197,45.596408600000004
24,"[0.5598881294996851, 0.35457807105159533, 0.020619113164121423, 1.684585272653636e-05, 1.684585272653636e-06, 0.06489615584659886]",-75.7241942,45.437163700000006
25,"[0.5106154654736534, 0.4213193251794881, 0.0006592905772472205, 2.9995888182692925e-06, 1.079217140964613e-06, 0.06740183996365197]",-71.31058490000001,46.7617675
26,"[0.5106154654736534, 0.4213193251794881, 0.0006592905772472205, 2.9995888182692925e-06, 1.079217140964613e-06, 0.06740183996365197]",-73.4617483,46.0528409
27,"[0.5106154654736534, 0.4213193251794881, 0.0006592905772472205, 2.9995888182692925e-06, 1.079217140964613e-06, 0.06740183996365197]",-71.25392459999999,48.413538700000004
28,"[0.609813884601551, 0.24529265017746293, 0.04360639919265896, 1.9501629717025122e-05, 4.511993709940953e-06, 0.1012630524049002]",-73.508889,45.651111
29,"[0.6050820789485647, 0.25509092516307535, 0.03461245202957768, 1.1704250948533556e-05, 3.093798817606004e-06, 0.10519974580901618]",-73.83285544,45.38068955
30,"[0.6255882068948209, 0.2622523081843984, 0.0325395915624521, 1.4846254504518786e-05, 3.2654165917867406e-06, 0.0796017816872324]",-73.6292667,45.4325141
31,"[0.6255882068948209, 0.2622523081843984, 0.0325395915624521, 1.4846254504518786e-05, 3.2654165917867406e-06, 0.0796017816872324]",-75.12097821,46.6070866
32,"[0.5106154654736534, 0.4213193251794881, 0.0006592905772472205, 2.9995888182692925e-06, 1.079217140964613e-06, 0.06740183996365197]",-71.28463173,46.770621399999996
33,"[0.5106154654736534, 0.4213193251794881, 0.0006592905772472205, 2.9995888182692925e-06, 1.079217140964613e-06, 0.06740183996365197]",-73.73441731,45.60558895
34,"[0.5106154654736534, 0.4213193251794881, 0.0006592905772472205, 2.9995888182692925e-06, 1.079217140964613e-06, 0.06740183996365197]",-73.73441731,45.60558895
35,"[0.5106154654736534, 0.4213193251794881, 0.0006592905772472205, 2.9995888182692925e-06, 1.079217140964613e-06, 0.06740183996365197]",-71.17532740000001,46.7910096
36,"[0.609813884601551, 0.24529265017746293, 0.04360639919265896, 1.9501629717025122e-05, 4.511993709940953e-06, 0.1012630524049002]",-73.44674659999998,45.5172382
37,"[0.5106154654736534, 0.4213193251794881, 0.0006592905772472205, 2.9995888182692925e-06, 1.079217140964613e-06, 0.06740183996365197]",-71.52394509999999,46.5473036
38,"[0.6255882068948209, 0.2622523081843984, 0.0325395915624521, 1.4846254504518786e-05, 3.2654165917867406e-06, 0.0796017816872324]",-73.59288215,45.5455196
39,"[0.5106154654736534, 0.4213193251794881, 0.0006592905772472205, 2.9995888182692925e-06, 1.079217140964613e-06, 0.06740183996365197]",-71.23522259999999,46.8259601
40,"[0.6386473392974168, 0.22365781166836077, 0.03957140162579501, 1.045187516645534e-05, 3.7106099568642563e-06, 0.09810928492330412]",-68.7676678,50.43566920000001
41,"[0.6386473392974168, 0.22365781166836077, 0.03957140162579501, 1.045187516645534e-05, 3.7106099568642563e-06, 0.09810928492330412]",-73.59150797,45.6333698
42,"[0.5710260450629792, 0.37410699662381275, 0.0004728247961775676, 4.931355968387312e-06, 2.2173363167209135e-06, 0.054386984824745375]",-71.15216664,45.449481799999994
43,"[0.5792414792997385, 0.3366180028583857, 0.0013139062636962145, 5.991330693339674e-06, 1.3396764283243991e-06, 0.08281928057105792]",-73.6530537,45.9235706
44,"[0.5792414792997385, 0.3366180028583857, 0.0013139062636962145, 5.991330693339674e-06, 1.3396764283243991e-06, 0.08281928057105792]",-70.555916,46.9826328
45,"[0.5792414792997385, 0.3366180028583857, 0.0013139062636962145, 5.991330693339674e-06, 1.3396764283243991e-06, 0.08281928057105792]",-73.7215259,45.558285600000005
46,"[0.6255882068948209, 0.2622523081843984, 0.0325395915624521, 1.4846254504518786e-05, 3.2654165917867406e-06, 0.0796017816872324]",-73.5903112,45.5086157
47,"[0.6255882068948209, 0.2622523081843984, 0.0325395915624521, 1.4846254504518786e-05, 3.2654165917867406e-06, 0.0796017816872324]",-73.6289223,45.4679674
48,"[0.6255882068948209, 0.2622523081843984, 0.0325395915624521, 1.4846254504518786e-05, 3.2654165917867406e-06, 0.0796017816872324]",-73.6068856,45.5186167
49,"[0.5598881294996851, 0.35457807105159533, 0.020619113164121423, 1.684585272653636e-05, 1.684585272653636e-06, 0.06489615584659886]",-75.1414806,45.852553
50,"[0.5598881294996851, 0.35457807105159533, 0.020619113164121423, 1.684585272653636e-05, 1.684585272653636e-06, 0.06489615584659886]",-73.84717490000001,45.4955083
51,"[0.6448648415523123, 0.20719549381305694, 0.03650115213406036, 8.942648622319426e-06, 3.170041743579315e-06, 0.11142639981020451]",-77.2781003,46.5896034
52,"[0.5600977346407393, 0.34766171259321943, 0.007396323852645433, 5.358410927690066e-06, 8.150333773509161e-07, 0.08483805546909072]",-72.0055843,46.9943379
53,"[0.5106154654736534, 0.4213193251794881, 0.0006592905772472205, 2.9995888182692925e-06, 1.079217140964613e-06, 0.06740183996365197]",-71.23522259999999,46.8259601
54,"[0.5106154654736534, 0.4213193251794881, 0.0006592905772472205, 2.9995888182692925e-06, 1.079217140964613e-06, 0.06740183996365197]",-73.4528307,45.7326055
55,"[0.6136158297742387, 0.30220550263280793, 0.03632731454639813, 5.941938366146371e-05, 8.164065664161944e-06, 0.047783769597229665]",-60.853368700000004,45.6508566
56,"[0.6624001811218816, 0.2018494232070215, 0.039896435003718464, 1.130402645801928e-05, 4.7267726292429374e-06, 0.09583792986829119]",-68.509585,48.2742735
57,"[0.6624001811218816, 0.2018494232070215, 0.039896435003718464, 1.130402645801928e-05, 4.7267726292429374e-06, 0.09583792986829119]",-73.76429470000001,45.65688529999999
58,"[0.6624001811218816, 0.2018494232070215, 0.039896435003718464, 1.130402645801928e-05, 4.7267726292429374e-06, 0.09583792986829119]",-74.0026536,45.8400098
59,"[0.6095887060423314, 0.30238265130097264, 0.041551867845412545, 4.568703899373574e-05, 2.983720932619181e-06, 0.0464281040513571]",-72.224808,48.514784999999996
60,"[0.6255882068948209, 0.2622523081843984, 0.0325395915624521, 1.4846254504518786e-05, 3.2654165917867406e-06, 0.0796017816872324]",-73.59740759999998,45.5315669
61,"[0.6095887060423314, 0.30238265130097264, 0.041551867845412545, 4.568703899373574e-05, 2.983720932619181e-06, 0.0464281040513571]",-71.653028,48.471930799999996
62,"[0.6331948245644725, 0.21068241067498814, 0.051271832914237515, 9.703410052771474e-06, 2.7834483019902235e-06, 0.10483844498794709]",-72.940636,45.627484
63,"[0.5106154654736534, 0.4213193251794881, 0.0006592905772472205, 2.9995888182692925e-06, 1.079217140964613e-06, 0.06740183996365197]",-70.89023979999999,46.920618700000006
64,"[0.6255881831412623, 0.2622523172116685, 0.032539628296884074, 1.4846253940807113e-05, 3.265416467799007e-06, 0.07960175967977655]",-73.51029809999999,45.5016203
65,"[0.6255881831412623, 0.2622523172116685, 0.032539628296884074, 1.4846253940807113e-05, 3.265416467799007e-06, 0.07960175967977655]",-73.7254477,45.5032702
66,"[0.6255881831412623, 0.2622523172116685, 0.032539628296884074, 1.4846253940807113e-05, 3.265416467799007e-06, 0.07960175967977655]",-73.5969488,45.58671
67,"[0.5600977346407393, 0.34766171259321943, 0.007396323852645433, 5.358410927690066e-06, 8.150333773509161e-07, 0.08483805546909072]",-72.531052,46.468841999999995
68,"[0.33930743845254563, 0.5423788295360338, 0.049790218314003584, 0.00031440554002854355, 5.831272270149449e-06, 0.06820327688511829]",-72.56455755,45.364256299999994
69,"[0.5676024090694628, 0.3255682242199664, 0.010174875096115367, 7.023730904012113e-06, 1.4398648353224832e-06, 0.09664602801871613]",-71.889038,45.403271000000004
70,"[0.5676024090694628, 0.3255682242199664, 0.010174875096115367, 7.023730904012113e-06, 1.4398648353224832e-06, 0.09664602801871613]",-73.6515157,45.7081005
71,"[0.5600977346407393, 0.34766171259321943, 0.007396323852645433, 5.358410927690066e-06, 8.150333773509161e-07, 0.08483805546909072]",-72.5571257,46.3507999
72,"[0.605082093669005, 0.2550909529293251, 0.0346124507394095, 1.1704250512261312e-05, 3.0378866775455316e-06, 0.10519976052507057]",-74.0514619,45.3994227
73,"[0.6419120932589069, 0.17686418218778885, 0.08610264885589912, 9.760943156707405e-06, 3.990445699335292e-06, 0.09510732430854917]",-73.35544200000001,45.7727845
74,"[0.6255881416589768, 0.26225233472424814, 0.03253962811419231, 1.4846253857453723e-05, 3.2805233783062664e-06, 0.079601768725347]",-73.5963951,45.485732899999995
