,Election Date,Province,Riding,lat,lon,Results,Liberal,Conservative,NDP,Green,Bloc,Other
48,1997-06-02,Quebec,MERCIER,45.310444,-73.746051,[0.2912 0.1761 0.016  0.     0.5106 0.0062],0.2912,0.1761,0.016,0,0.5106,0.0062
49,1997-06-02,Quebec,MOUNT ROYAL,45.5086157,-73.5903112,[0.6226 0.1035 0.02   0.     0.041  0.213 ],0.6225999999999999,0.1035,0.02,0,0.040999999999999995,0.213
50,1997-06-02,Quebec,NOTRE-DAME-DE-GRÂCE--LACHINE,45.4679674,-73.6289223,[0.5656 0.1979 0.0443 0.     0.1682 0.0241],0.5656,0.1979,0.0443,0,0.16820000000000002,0.0241
51,1997-06-02,Quebec,OUTREMONT,45.5186167,-73.6068856,[0.5015 0.1221 0.0644 0.     0.2839 0.028 ],0.5015,0.12210000000000001,0.0644,0,0.2839,0.028
52,1997-06-02,Quebec,PAPINEAU--SAINT-DENIS,45.852553,-75.1414806,[0.539  0.1278 0.0245 0.     0.2891 0.0196],0.539,0.1278,0.0245,0,0.2891,0.0196
53,1997-06-02,Quebec,PIERREFONDS--DOLLARD,45.4955083,-73.84717490000001,[0.6643 0.2017 0.0183 0.     0.1077 0.008 ],0.6643000000000001,0.20170000000000002,0.0183,0,0.10769999999999999,0.008
54,1997-06-02,Quebec,PONTIAC--GATINEAU--LABELLE,46.5896034,-77.2781003,[0.4578 0.185  0.0221 0.     0.3201 0.015 ],0.4578,0.185,0.022099999999999998,0,0.3201,0.015
55,1997-06-02,Quebec,PORTNEUF,46.9943379,-72.0055843,[0.2948 0.2463 0.0259 0.     0.433  0.    ],0.2948,0.2463,0.0259,0,0.433,0
56,1997-06-02,Quebec,QUÉBEC,46.8259601,-71.23522259999999,[0.324  0.1849 0.0459 0.     0.4452 0.    ],0.324,0.18489999999999998,0.045899999999999996,0,0.44520000000000004,0
57,1997-06-02,Quebec,QUÉBEC EAST,46.8259601,-71.23522259999999,[0.314  0.2713 0.021  0.     0.3937 0.    ],0.314,0.2713,0.021,0,0.3937,0
58,1997-06-02,Quebec,REPENTIGNY,45.7326055,-73.4528307,[0.2113 0.2103 0.0155 0.     0.5629 0.    ],0.2113,0.21030000000000001,0.0155,0,0.5629,0
59,1997-06-02,Quebec,RICHELIEU,45.441899299999996,-73.25001929999999,[0.2891 0.1416 0.0213 0.     0.548  0.    ],0.2891,0.1416,0.0213,0,0.5479999999999999,0
60,1997-06-02,Quebec,RICHMOND--ARTHABASKA,45.6508566,-60.853368700000004,[0.2031 0.415  0.0123 0.     0.3697 0.    ],0.20309999999999997,0.415,0.0123,0,0.3697,0
61,1997-06-02,Quebec,RIMOUSKI--MITIS,48.450155,-68.52996800000001,[0.3022 0.2149 0.013  0.     0.47   0.    ],0.30219999999999997,0.21489999999999998,0.013000000000000001,0,0.47,0
62,1997-06-02,Quebec,ROBERVAL,48.514784999999996,-72.224808,[0.2628 0.2029 0.0132 0.     0.521  0.    ],0.26280000000000003,0.2029,0.0132,0,0.521,0
63,1997-06-02,Quebec,ROSEMONT,45.5315669,-73.59740759999998,[0.3218 0.1559 0.033  0.     0.4703 0.019 ],0.3218,0.1559,0.033,0,0.4703,0.019000000000000003
64,1997-06-02,Quebec,SAINT-BRUNO--SAINT-HUBERT,48.471930799999996,-71.653028,[0.3282 0.2009 0.0196 0.     0.4513 0.    ],0.3282,0.2009,0.0196,0,0.45130000000000003,0
65,1997-06-02,Quebec,SAINT-EUSTACHE--SAINTE-THÉRÈSE,45.5646052,-73.89297140000001,[0.293  0.2254 0.017  0.     0.4645 0.    ],0.293,0.2254,0.017,0,0.4645,0
66,1997-06-02,Quebec,SAINT-HYACINTHE--BAGOT,45.627484,-72.940636,[0.2229 0.3315 0.0164 0.     0.4291 0.    ],0.2229,0.33149999999999996,0.016399999999999998,0,0.4291,0
67,1997-06-02,Quebec,SAINT-JEAN,46.920618700000006,-70.89023979999999,[0.2717 0.245  0.0155 0.     0.4606 0.0071],0.2717,0.245,0.0155,0,0.4606,0.0070999999999999995
